id_phd	id_jury	role_jury
55	48	Rapporteur
55	104	Directeur de thèse
55	148	Membre
55	149	Rapporteur
56	32	Directeur de recherches
56	36	Président
56	46	Membre
56	47	Rapporteur
56	150	Rapporteur
57	7	Directeur de thèse
57	32	Membre
57	104	Président
57	151	Membre
57	152	Membre
58	19	Membre
58	77	Membre
58	120	Directeur de thèse
58	141	Rapporteur
58	153	Président
59	5	Président
59	8	Directeur de thèse
59	154	Rapporteur
59	155	Rapporteur
60	28	Président
60	39	Directeur de thèse
60	75	Membre
60	99	Rapporteur
60	156	Rapporteur
60	157	Membre
61	7	Président
61	9	Membre
61	34	Directeur de thèse
61	97	Rapporteur
61	158	Membre
61	159	Rapporteur
62	5	Président
62	8	Directeur de thèse
62	32	Membre
62	160	Rapporteur
62	161	Rapporteur
63	10	Membre
63	12	Directeur de thèse
63	13	Rapporteur
63	77	Président
63	162	Rapporteur
64	28	Co-directeur de thèse
64	30	Président
64	55	Co-directeur de thèse
64	139	Rapporteur
64	140	Rapporteur
65	33	Président
65	47	Rapporteur
65	104	Directeur de recherches
65	148	Membre
65	163	Rapporteur
