id_publi	id_phd	author_order
52	20	1
64	14	2
67	7	1
85	20	3
87	20	3
91	12	1
128	18	2
188	5	3
196	11	5
199	11	4
259	5	4
281	11	4
308	2	2
309	2	2
310	3	1
311	3	3
312	3	3
313	3	5
314	3	4
315	3	4
316	3	3
317	3	3
318	5	3
319	6	2
320	11	1
321	11	1
322	11	1
323	11	3
324	11	3
325	12	1
326	12	2
328	12	1
329	14	4
330	14	2
331	14	7
332	14	5
333	16	2
